x1,x2,x3
0.3784,0.7257,0.5
0.7070,0.3091,0.5
0.3112,0.3627,0.5
0.4901,0.2231,0.5
0.4183,0.8734,0.5
0.8277,0.7710,0.5
0.0570,0.4660,0.5
0.6661,0.4183,0.5
0.1708,0.7309,0.5
0.6178,0.2022,0.5
0.7995,0.3587,0.5
0.5580,0.5982,0.5
0.6993,0.2113,0.5
0.8284,0.4099,0.5
0.8529,0.5632,0.5
0.6570,0.7437,0.5
0.6526,0.0804,0.5
0.4556,0.6498,0.5
0.8974,0.5263,0.5
0.7505,0.9353,0.5
0.9060,0.8003,0.5
0.4052,0.5224,0.5
0.5903,0.8579,0.5
0.4846,0.5060,0.5
0.6541,0.5668,0.5
0.7761,0.4672,0.5
0.1998,0.4088,0.5
0.5335,0.8248,0.5
0.6593,0.5079,0.5
0.9430,0.4508,0.5
0.4882,0.0647,0.5
0.5347,0.3531,0.5
0.3644,0.1830,0.5
0.5178,0.7720,0.5
0.7861,0.6645,0.5
